labels,text
6,jake thomas looks so precious :'( i hate when they say &quot;there it is i see the white light&quot; in every ghost whisperer show
4,@45H13Y that's no fun  server change...?
4,"not sure if I can use my Neko tix for Sunday night.  may be offering them to someone else, you'll all be the first to know if interested"
4,Watching Basement Jaxx's set on Radio One site
4,My baby gets her shuts today
3,"@pythonism c is nice, but I wouldn't call it fun"
4,@mozy19  thanks!
5,@Sandy_B_ Shes bad they won't sort her out and is in a lot of pain
3,played okami for 14 hours today
5,Its an undeniable truth.  I suck at talking to people.  No good at making a connection.  i come off as either strange or distant
4,@Nfnitedawn Cheers *lifts coffee cup* here here for Mondays
4,Listening to Black Eyed Peas.
3,"Enjoying a great buffet brunch at Friends &amp; Bachus on St. Marks Road. The food, service &amp; ambience get a 4.0/5.0 Definitely coming back"
4,There's Only One Thing I Hate About Friends And Dats When They Move Skl They Forget About Yuu
3,Here's a big moan for Dave Leyrock... IM UP IN 8HRS!  pity me! Coloursfest ahoy xo
4,@crazycori713 I don't think I'm going camping
3,LOL. My moms present cost 69 dollars.
5,@love2reed thx girl! I just now woke up! I cnt believe I'm sick!! Now I have a fever... Wish I could pound nyquil  This sucks.
3,"laughed so much today over that picture of lauren, that my chest hurts."
5,missing my bffls! missing my friday night dates!  hot dogs for dinner then who knows what the evening holds!
4,@_missrachel how much?
4,@lilxcutiesworld I guess @anilam18 cant request  the same song though
4,Eurgh.. Revision.. Who invented History?
4,I wanna be at BEA as well!!!!   #BEA09
5,getting ready to drop off something to my man so he can hang out with a friend instead of me
3,@treewatcher21 Ah veronica! its a pleasure to meet you  I'm stephen
4,@iankintzle Come visit Iowa. k?
4,@Saurabh oks  yes infact we had chatted earlier on n00b.in as well
4,@caaakes Tell X to email me pics! OfficialShew@gmail
4,"I justwatched like, 5 straight episodes of escaped on ID Discovery channel. A guy imprisoned 6 women, killed 2 and cooked them"
5,@DaveDeRoo hardly :/ some of my furniture is being shipped from who knows where and is backordered  I may cancel and shop local.
3,"Up and at em... got a big To Do List for today, and hubby has to work   But then weekend is going to be just us... I think!"
3,@limheeian iPhone is awesome man!! Time to join the Apple cult!!
5,"is missing her best friend  commme back kayla, going out in a little while"
4,@columbushort Follow Me
6,"I quite enjoy this Lady Gaga person. She's of Italian heritage, apparently.  ? http://blip.fm/~5z3co"
5,So now we'll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.
4,"@dr00ness I wasn't  I was with the bf at the time, and am now omw to class. What is this new Kaggra,?"
3,"fuckkk i need sleepppppppp lol, happy mothers day mummy"
4,"@shanajaca But @feltbeats is on page 6 at Ms Twitterworld, only 26 votes"
6,i can't believe my little brother is married...
5,"@ss1271 yes, that's what I meant... I don't have anything to turn it into Hirigana, though."
3,"humm.... I adore Mark #hoppusday ,so I'm just going to throw it out there #hoppusday....... have a nice #hoppusday people!!"
4,"@juiceegapeach it's called dirt, go take a shower! jk"
4,@justmebo fortunately they have a #baller waiting area
4,@lizajbeck No argument there
4,@ceciliabedelia i know so lame
4,is going to go get some food.
4,"@krissysalisbury Morning, that's not mean, that's just smart"
5,no one to go see Tiesto with
6,lol how I met your mother
4,Hey i'm on FaceBook come check me out http://bit.ly/17jIy8   tell me ur username if you ADD ME
3,"@MissShell20 eeeeep so jealous ;) I'm at work  um, how can u receive Viva? Do they broadcast it online? :plz:"
5,has work tom.
4,"@bennsu @dj_diva I know, I know...lol   That is the ONE song that stops me in my tracks on a dancefloor.  I just can't...lol"
6,"@amandabynes will u give ur mother anything special? I'll make a cake and make sure mine gets a stressfree day =p cheesy, but it works"
4,@insomnia I shall drink lots
4,Sites that republish my blog's feed often end up higher than my blog on Google search results
4,and dont tell burnsy - but no comparison between the rocky mountains and mountains in enlgland
4,Cleaning time soon
4,@andyclemmensen whens the sway sway winner announced?
4,"Perth - Ford - Falcon - 1997 - $3,500  - new ad received and will be posted on the HCC site soon"
6,"@NewShoreline Ouch, give me a heads up so I'll know when to duck"
5,#twpp and no one told me?
5,So bored.... couldn't go to a-kon...
4,One interlock down one to go
5,"&gt;&gt;Why did the Blonde Keep failing her drivers license test--------&gt;&gt;&gt;&gt;&gt;Everytime they stopped, she jumped in the back seat."
4,"@justinderekrich Good morning nyc! If I weren't broke, I would have landed there yesterday afternoon."
6,@shaundiviney Sweeny Todd is deadset one of the best movies of all time
3,@TiernanDouieb Oh gosh I hope so. How fun!
5,@jessicaca yeah i know  been dealin with it for over 2 yrs now
3,is in a good mood
4,Raining again
4,@dark_jayy It might hav to cost u a History essay.
5,listening to @joeymcintyrye's Without Your Love...hes so tortured in that song...makes me sad
4,"@Cryo ahh, that would be a good reason.. Heh hope that goes well hun"
6,@taracasper what are you doing here? I thought you were back at work today!
3,I have new slippers! They are piggys! So so cute and very warm
3,@irontec Thanks for the support
4,I plead temporary insanity for agreeing to a metric century cycling event tomorrow.
5,"@mcrmy_lisa ...one online? Yeah, me"
3,"@ferrao California waiting, every little thing's gotta be just right ? Putz, adoro essa banda"
4,in about 30 minutes Happy Mothers Day to alll the amazing moms out there!!!  going to bed!!
6,@calamitylill Can you send out letters/emails to clients to remind them you're there?
4,@Pressrecordmag oh i like this idea
4,@stevepizzati Go to Campos on Missendon Road in Newtown. Ask for Ben. And discover how great coffee can be
6,"@mtrier You're not the only one surprised that FreeTDS and UTF-8 don't &quot;just work&quot;. But you'll get it right, eventually."
4,spent a few hours being a camera whore with palina
4,is goin out  to  dinner!
3,@lauriepercival it was a great wedding! the band was awesome (they played a ton of great 80's songs) as was the food!
4,"I think my bicycle and I just freaked out a custodian, who wouldn't have let me in the building if I didn't let myself in with a key"
4,"I can't believe how many people think it is great that I passed the quiz, &quot;how blond are you?&quot; on Facebook.  I am very blond!"
5,"ugh gone through 2 new phones and now my screen is black, which means no texting"
4,When will Medhurst play again?
5,sweaty and tired from the 6 lap run.  gonna do sun run next year no matter what.
4,"yeah one burrito did not taste like the other, there was no avocado ranch sauce"
4,@Momofnation is it bad that I sort of want her to miss me?  I know I will be missing her.
4,Goodnight world! I have t o be up at 5am
3,@emilygrace_BHB I went to that concert and I remember Derek and Mark were hosting! I miss seeing BHB  at the grove.
5,enjoying the great sunshine.. from indoors.. I don't feel good today
3,http://snipurl.com/hq0n1 Just printed my mom an Amazon gift card  for Happy Mothers Day talk about last minute.
5,: I love camp fires  I just wish the kids would try a bit harder to sing along
6,@BKMS4life thx for following
3,Happy National Star Wars day everyone!!
4,@NoopDoggNatasha Fanbase is a code word for something very special to Anoop. Very personal..and special.
4,"@clevert I thought so, I will text you later this week to catch up  Did you open the links I sent you via email yet? heh"
6,Headache from last night has morphed in to a hangover  and now it's time to drive down the motorway... to Wolverhampton (WHY OH WHY?!)
5,@juenese i totally felt bad for the guy. haha im good  i miss you guys!
4,Wishing all MOMs a very Happy Mother's Day!!
5,"@teksone No, I'm in the US for the weekend not the UK"
4,going to sleep now! Goodnight twitter!
3,@michaellington hahaha that made me laugh
4,@firequinito 105-all SMB possession 33.4 sec remaining.
6,Mount dishes have been conquered. Dish land is ours
3,@Mizz_Trouble my pleasure sweetie! Lookin forward 2 gettin 2 know u
5,"really tired. and have to work the whole day tomorrow, the thought of it depresses me.  uncoooool...."
5,"@ACMcWhale really good, but it's definitely not a 12's. So many people getting burned alive"
3,happy that Google Wave is trending.  Can't watch the video for it... certain flash videos are blocked by my company's network.
6,"I am in a middle of a industrial estate in pirate ffancy dress,ready to do a 7 mile walk"
4,"@Pierrino yes DON'T FORGET the koala pics   I'm pubquizzing tonight in the 11e if you're back in time. Sinon, mardi?"
3,@MrCartersNurse  congratulations for your mom for tomorrow ! buenas noches
3,excited to jam + and auditions
5,@Elleipein aww honey I'm sorry
6,Looks like the #GM Bankruptcy is going to happen. This loss will help offset the gains that I had earlier in the year tax wise. Oh well
4,"@BrianNeudorff Good morning   Been here since 4am, just quiet.  How are you?"
4,@IsaGoksu  http://yfrog.com/11z2ip  nothing there
5,is off to get the boy and then to his doc. Persistent coughs are not good.  http://plurk.com/p/x285t
3,@Mansur_Rahal Thing about living is that there are always undeveloped pictures in your future.
4,About to go eat breakfast at jay jays cafe with my one and only
5,@prncsztalia why do you hate me!?
3,@MichelleCorydon Thanks!
4,Lovely morning to cycle to work but met with a 29 degree office
4,@chaotic_barb Thanks  #sigjeans
6,Going to bed...going back to Korea tomorrow
3,@terimoore  Congratulations...keep us posted on how things go!
4,"@melkoo Hi Mel, if you feel unhappy just take a bit of fries but don't overdo.  If can help it don't"
4,@SophiaF3F3 word i'm always up
6,@lyssaloveless I wish they replied to us. July will be utterly amazing!
3,She has an awsome voice. Bored nothin to do i should really consider  going back to school yeah right i'd rather cry of boredom  forever
3,No 10th  2 months=]
5,No pool today.   Stupid weather.
3,Yay! Just bought American Dad Volume 4  also seen Australia is out on DVD. Could be a lot cheaper than going...
4,@henriok not really  Just have to install OS X on a harddrive and get it to boot on schools iMacs.
5,@eprussakov ohï¿½ unfortunately not
4,@Rockstar_Sid I did  $3 for a full length video. Not bad
3,@tracysummers04 Im pleased hun
4,@mileycyruuus what are u doing now ??
4,@ditucci What kind of coach would I be if I didn't read all your tweets?    Still waiting on an non-dried afro picture.
3,Yes we Can  make it ......Obama
4,@cole_nesmith
5,@karamat If only we could ever actually be allowed to stay here and do that
5,Sick kid trumps advance planning.  Bummer
4,@rohitchauhan This is what pundits are paid for...how will TV channels and websites run otherwise
4,@MissSaraBee haha breakfast will fix that  w/ a large cwoffee
6,@Bensabeast Whaaaat?!?!?  When did that happen?
5,@Starry1968 you're surrounded by them! I have no official nieces/nephews yet
5,"hmm. I'm disappointed. I made 2 servings, and I am only able to enjoy one because my stomach is now full  wishing I had company to help."
4,Where are my peeps? And my boyfriend? In Miami
3,@bunnydrumming Hi bunny! I recently have subcribed to your channel on YouTube! You make some great stuff. Kinda just wanted to say hi!
6,@CrazyBallerina Not really sleepy ...bored is the right word ... again not much work
3,"More beans on toast for breakie! Gotta clean my room and study for final Cisco exam, then watch #LOST . Can't wait!"
4,@auroraawakes That means you need to start.
5,@polyap POL! Is this song from a new album? I am really missing out on UdD!
4,@BBismyBB aww...you're such a softy...I can only imagine you a mess of tears at your own wedding...you won't even be able to talk
3,@BoyceAvenue hey guys it's leann. . i dont know if you remember me but i just wanted to say that i'm very excited to see you guys go far
5,Great first impressions about the little netbook- they only downside is there is no access hatch to upgrade the RAM
4,@carbyville - Ya but they have to speak to you first to reply to them..
3,victory for the bulldogs was celebrated by 3 white chocolate cheesecakes  nom nom nom WHATTA FATTYYY
3,Home Sweet home &lt;3  Going to see Hannah Montana The Movie AGAIN today &lt;3 DDD
6,listening to music!! my phone just died on me  !! Can't find my charger... my brother needs 2 stop taking mine without asking!!
6,Found controls for left hand people like me on twitterrific. Excellent
3,Had an awesome pedicure today!!
4,Facebooking
4,I'm not impressed that it almost always rains on Bank Holidays !! Stil... It's a free day - no college
3,that was a fun bacontaco night
4,@Corey_Cochran Hi Corey.. just saw your reply now.. here it is 5:30PM .. an I have a long night coming...
6,@mrgarbutt TWEET 42
5,Writing in yearbooks make me wanna cry
3,"@Aubergine006 I still have plenty of food left here! Thanks for coming over, I can't wait to see how the pictures came out"
4,@heystephy write write write!!!
4,@selenagomez do u ever answer ur fans on here?? i wish u would. i have a question i've been wanting to ask u for months
4,"@astrokitty75 Thanks! I downloaded the trial version of Stuffit, and it worked. Good advice."
3,All moved in to our new apartment. So exciting
4,@nindrawr ngobrolin favorite bands at the moment cii... kesian ya kamu speakernya rusak HAHAHA  benerin dong ci.
3,http://twitpic.com/33hus that's my baby
4,@BastetAsshur i agree.
4,Grey's 'Sweet Surrender'  http://tinyurl.com/d5mjyj
4,"@keza34 ta babe, you know me i do love your curried"
6,blast from the mofo'ing past. NTS why must you suck so badly at school?
5,i hate waking up early! but i need to make up my 27 hrs at my pharmacy class. &gt;=[ sighhh.  in other news: breakfast time!!!!
6,"@lalalalexi read it! lucky, why are you getting a new phone?"
4,@dyedinthewool Scooby is yours. Because he's different than the rest
4,Getting ready for school. Class starts at 10. Critique at noon. I'll be painting my Vermeer most of the day though
4,@richard1988 because you saved the frog. I thought I replied to that so it would make sense. so how does twitter work?  gehts abi gut?
4,@chrismic That's the song I mean
3,"@joshcough Also it has a dense treatment of CPS and Continuation based Interpreter design, which is not there in SICP. Good to have both"
6,gutted - the handbag I wanted has been sold!
5,"browsin thru the videos in my multiply and i saw the video u sang with my bf. i miss you, N. we all miss you. pls come back wherever u r."
4,i wish i was at the beach already
5,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day"
3,Morning twitts heading home  had a great sleep over w. my bf Tennille!
4,I wish I could just go for a drive..or a movie or the store..I just wanna be alone
3,got alot of runnin around to do today to get this job app completed so they can have it on file... so glad i got this job!!
4,Jus got done swimming! Soon ima need to stay outta the sun
4,Hulu Desktop: http://www.hulu.com/labs/hulu-desktop  No Linux version  but atleast they have a Mac version
4,Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.
3,"@HansenBanana Kayyy XD Yeah, everyone always talks about the part where the dog dies  I need to find a movie that you haven't seen now XD"
4,is all alone for the evening!
4,Waiting
6,"finished work @ midday, had kiddie dinner ... now have no get-up &amp; go ... ah well it's bank holiday!   #fb"
4,May the 4th be with you -&gt; heute ist Star Wars Day
4,test test from the LG enV2
5,"Hitting the sack now, fellow Twitterheads...so, where are you treating your Mom today?"
6,Is eating BBQ Jalapeno Torta Subway from Los Chaparros right next door..
4,@Gailporter congrats! You're the first person i've heard/read say that today
4,Cake anyone? http://www.flickr.com/photos/kayveeinc/3517129153/
5,@faulko1 i'm watchign the garden from the window...far too hot for me
5,"has the urge to go shopping.hmmm but i've got no money,how?"
6,Lots of confusions I've at my work place..
4,Going Outro... Peace.
5,bye daddy!! see you on tuesday
5,@gedhead if only @stephenfry wouldn't have some fiftythousand followers... hugh laurie's just a needle in a haystack now!
3,Is FINALLY having dinner... At Nishiki Sushi!
5,is tired on her friendster account.
5,"@ScaryMommy   Sure!  My entire blogroll is terribly updated, but this could motivate me to update and redo it!"
5,Got a bad headache
5,"Apple FAIL. If you set up a new British Mac, the dashboard weather widget is for London, Canada, not the UK one  (Hard to tell too!)"
3,I had a GREAT night with Justine and the boys and all the westconn people I met tonight haha
5,@hootsuite  Darnit.  See what happens when I avoid teh interwebs for work.
4,Heading home
4,has been told shes not allowed in the sun tomorow!  either that or wear sun cream!
4,"Hmmm go to sleep because i have to be up at 6 on a saturday  for work, or watch 2 more episodes of one tree hill? one tree hill i think!"
3,@Sharmi A pretty black top with flowers in pink hues
3,Glad to be home I wish I could make @CBrown7785 feel better
5,@Emiily_Kate i know its heaps awesome. if your not working all weekend
3,Alright gang. Gotta go park with family for an hour. Back then  Mwahs to yu if you head to bed before then
4,@7mad He's my boxing trainer. Although I think the bruise came from me hitting myself on something. Ow
6,@xxojackie oh my god! you're kidding! wow !! you must of moved out RIGHT after calleen got his 4 month shots.
3,"@MrMaxROI Hey, it's good to see you here! Will now follow you. Would be nice to have a photo!"
3,@JackAllTimeLow it was fun anyway..thanks for taking pics with us last minute
3,"@bbelle_ yeah, just knew him because of your link  HE'S COMPLETELY AMAZING AND HE SINGS PHANTOM!"
4,eating halls cuz i have a sour throte
4,@darthvader  May the 4th be with you too
5,i DID argue with byron because he said im fat
4,thinks someone may have keyed her car.  Big scratches on the hood.
4,watching role models.. absolutely hilarious
3,@NormaBecerra the washer se chingo  ha  ha!! I'm busting my grandma lucia waaaaay back in the early 90's lol
5,"excited to see &quot;UP&quot; for Logan's Birthday in 2 weeks. Sad he wont have a party bc he doesn't know any kids, tho."
4,@shaundiviney i already do
4,"@BAMbam_12 relax mama, u kno we got u..Breathe easy..need some piff is all"
5,It is hot here in Texas and our ac upstairs is broken so its really hot at my house.
4,Had a dream I brought @mandykmusic and @keat to kings island. It was pretty sweet. Bummed they're in poughkeepsie 24 hours before me
6,@greenatelier awww wish I was there! Have a brew for me B!
4,"Top 20 ways to go green! http://tinyurl.com/otjttu - this is pretty helpful, and kinda cool actually"
5,its too early  i wanna go back to sleeep
4,Must head back to the office
4,@EllaPaigeBabe nothing really. sooo bored  xx
3,eating truffles  yum!
3,@sheszladii  LOL! Girl that video disturbed me  and I love the hk theme too cute!
6,@mynameisgay You are so lucky you get to travel.
4,@Scrapbooks I have no idea
5,I miss my friends so much
3,Did it!!  back in pakistan! - http://bkite.com/07kBP
5,oh i just check my stock port. My marketing was unable to buy me TICON at best price
5,"getting ready for school.. reading what's going on on set in Montepulciano, and practically crying cause i'm not there"
3,@jadeofjades www.youtube.com/watch?v=CyJvgnP9-vA sowwwwyy! U girls make me twisted all time
3,"watching shark boy and lava girl! on disney channel. hanging out with sarah jane, micah, &amp; rachel"
3,@jocelynseip Thank you - If you like please leave a comment and Subscribe!   Chicago another great musical.  Thanks for your support.
6,@A12291994 you are lame  go make me breakfast!!
6,@kduggs1 OMG I just spit my drink out! RIP hair straightener!!
0,@rockchick0125 yup!  Now I can join in on the nin access fun!
5,"i miss everyone... i need faces  , not witty situational updates, but these will do..."
5,In pain from earlier gym session - a necessary evil after too much beer this past year
5,"i'm sunburnt on my arms, and i have burnt my mouth, and some skin is coming off"
3,oh how i love texting my drunk friends  hahahaha
4,walked home in the rain.
4,Whoooooo I'm gettin' extra hours today    afterwards I'm gonna see if I can get some marigolds for my mum ^^
4,@Phlupp You're phone is off
3,Going for a ride! Perfect night to go out and chill
4,WHAHHH!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! NOO!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
4,@arisinterlude damn how you not gonna follow me son?
5,"@lulion07 i'm praying for you. Sorry to hear about your bro, man"
4,How does this Follow Friday thing work?  I don't have any real followers
5,http://twitpic.com/67f8q - This is making me sad
4,Did it!!  back in pakistan! - http://bkite.com/07kBR
4,leaving work in 25 minutes to go to Broompark then to see the new flats then for lunch with Mandy and my dad.
3,"@mahamimo Thank you! Your makeup art is top-notch, come to my house every morning! ha ha"
4,&quot;The Complete Black Books&quot; just arrived ... looking forward to some entertaining #tv nights!  #dvd
4,@anisalovesu it was apparently a request by the guests
4,@Stephaniemusic love u!! and love mr. player! come visit me  i miss u girls
4,done washing our clothes.. i'm so tired..
3,@rainstopper have a lok at EF too! they are jummy
4,"@catashton ermm, more like a full black upper half.  and some a completley grey"
6,says happy mothers day to all mothers everywhere!  http://plurk.com/p/stz7a
4,a trending topic: HAPPY STAR WARS DAY
3,Happy Star Wars Day! May the 4th be with you  (via Nige the Goth)
3,its my birthday.....happy birthday to me!!!!
4,@KrustyCanuck Time for some Halo3 then?
4,@JamesProps very cute kitty
4,@EllabellCullen3 I can't. I'm on my iPod and it doesn't have IM
6,omg! i didnt even know my friend knew @ijustine !!! lol its a small world
3,Happy Mother's Day to every mommy out there
3,@Tech_Animated thanks so much for everything you do!  i'm so sorry you're hurting
5,Is dying my hair back to pink. I missed being a cupcake. And I miss my Sherry and Melanie
4,"@tararizing it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!"
6,@mzstokes No twitpic?  lol
5,@xxxmaggie oh that sucks  I'm sorry.
4,@Mollieandme When oh when are you coming back for a gig in Scotland? I had tickets to see u last year but was in hosp wit gallstones!
4,brad we should be at Olympic village watching this. Season 1 with a 30 rack adult hood
4,@RobKardashian Hi Rob!
5,Just started raining in earnest... guess golf is off for today...
3,"i want some grape soda, jack fowers' fault. also, @TraceCyrus i wish i could see you play  are your uk gigs sold out? please reply!!!!!!!!"
4,is doing boring accounts stuff
5,No launch today. Teacher changed plans and we watched a stupid move about tesla
4,"@limburger2001 yeah. No vomiting tonight, bit sniffly but ok.  bens trying to get him to sleep right now."
4,@lilmarshmellow  thanx
5,My cat has been missing for 2 days. I am freaking out.
4,@benald Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
5,@mitchelmusso is the album getting a uk release? if not ill have to order it and pay a huge amount to get it shipped to the uk
4,@AnneTwan May the fourth be with you
4,@JerrysWifey23 Thanks
6,@vmysterrr are you serious!? that bloooooows
5,im slowly losing followers one by one.
5,just woke up...dont want to go into work at 4
4,is super tired
3,@joycsc - THANKS ! My motivation is returning at about the rate I'm inputting coffee  !
3,"Wearing exactly the same clothes as I used to wear in Canada, beanie (or touque) and all.  Ahh brings back memories... I miss the snow"
4,@RetroRewind OMG and you have to do this when I'm at work and can't listen
4,Am going to get some tattos when i get paid  Jack
5,was gonna go to my brothers show but still feeling like poo :**(
4,tiss sad when people leave
6,Just got home  interesting night
5,"@JoelMadden I applaud you for accepting gay marriage, I have rels that are born again that hate me for it."
5,"right, so richard marx's right here waiting is really making me feel nauseatingly sad."
6,"@Lindsayslifee goodmornin  as soon as i saw ur pic, it reminded me how embarresing it was yesterday. with oliver&amp;peter. it was fun tho xD"
3,"@sweetemmaxxx yeeh. i also have a thing for drummers  basically, all guys have 2 do is play an instrument or sing and im all theirs :p"
3,"I have a 4-H lamb meeting. It should be fun. And it is sunny! Yay! I can play with my horses this afternoon. Clap, clap, clap!!!"
6,"@simonpeggster Hi Simon, I'm new to this too - but just thought I'd tell you Jimmy Carr has tweeted that you make the Star Trek movie."
4,@hi_sweetye I hope so
5,"I miss the old... HA, HA. I can't tell that person's name."
4,Liked &quot;I quit smoking in September of last year after 40 years - I hope one day I won't miss it  snivel whine&quot; http://ff.im/-3nVYG
4,@hartheart @marlyrae god you guys...i'll call you guys...three way. to discuss.
3,@NMaize Lucky Rob... always gettin' the T8's from Emalon
5,@coliwilso *hugs*  still feeling poorly are you
3,"@lindsayrcg hehe, I can almost hear out of my right ear now  Can you yet?"
4,My eyes hurt
3,Ideas gallore!!  Rock Opera FTW!!!! Yes tweets Kayleigh and I are writing a rock opera.  For more info email us: CoatAndKay@hotmail.com
3,@xoshattered_  i missed you. today was the greatest day ever. im burnt and shit lmfao. but it will be a nice tan. 11 rides in 6 hrs!  &lt;3
3,@loadedman look at my background that's how I want my future date to be like  (well if I ever get him).
3,"@fotojen @halgriffin hope you guys are having fun!  Can't wait for ya'll to be back, Wilmy isn't the same without you"
5,@drumstickboy I also used to be close with adiel and sabby. But now they changed alot. I like when we were in sec 1.
5,Boring day today. Broke so I can't go and see my friend's band tonight  Maybe The Q tomorrow though.
4,"@bill_starr Yep, the Hawkesbury Classic starts at Windsor, home of said DJ"
6,Whoops - I got sunburnt
4,"@joe_donut ah good deal, hope you find some new music"
6,Awake. And my head hurts. Which probably means last night was a good one
4,@rolyseal oh  il probs do wt i do every yaer watch the first one then watch the last couple of weeks lol
4,@solangeknowles www.youtube.com/watch?v=9FtuV3xMrN0
5,@lyricals don't care about my struggles..
4,I'm getting more and more followers... look out Ashton!
3,Good morning
4,true lol no problem about the unfollowing..not mad
3,SWAY SWAY BABY zommgg love it  need more screamo tho boys
4,"@khad strange, that is exactly the chapter god laid on my heart to read in The Message yeaterday morning...He works in mysterious ways"
6,downloading the right/real speedracher now.
4,@cloudconnected Actually I think the NA release date was confirmed for September so it's a bit more of a wait.
4,wished I watched jon &amp; kate plus 8 on monday
5,"Poor @IMissBradAndJen 's mom just told her she looked like a hooker.  The skirt wasn't THAT short, and it's 87 degrees out!"
5,"@ultramegaman I've never done a Friday digest... today is an anomaly, usually my schedule on Fridays doesn't leave time for it."
4,wave would trend higher that bing
3,going camping in a coupla hours. gotta pack everything... by myself
4,Another day @ Casino de Montreal
3,"Goodnight, good morning and HAPPY MOTHERS DAY! Visit my profile to see my silly offspring.Its funny, the love of my life picks his nose!"
