text,emotion
"Well , you can buy him a pet iguana then .",neutral
That's a cool idea . At least it would be a surprise . But I'm afraid he wouldn't take care of it .,happiness
"He would think you were crazy , Caroline .",neutral
"Yes . An iguana is too strange for a gift , and a tie is too normal . So I have to find something halfway between .",neutral
How much do you want to spend ?,neutral
"Well , he was very good to me . He helped me edit my essay for the scholarship contest . So I want to spend at least 75 dollars .",neutral
"Alright , I have an idea . You know he carries that conservative-looking briefcase every day .",neutral
Yes .,neutral
"Well , he isn't a lawyer , so I don't think he needs to have a briefcase like that .",neutral
What should he have then ?,neutral
"I think he would appreciate having a very fine leather bag . But more like a workbag or shoulder bag . You know , not so hard and square like a briefcase .",neutral
I think that's a great idea . Men look great with that kind of bag . Where can we buy one ?,happiness
I don't think this mall has a leather goods store . So we have to go to State Street .,neutral
Alright . We can go later then .,neutral
"We can buy something for Mom and Dad here , and then go buy Uncle Teddy's gift on State Street .",neutral
Good plan . What should we get for Mom though ?,happiness
She said she wants one of those automatic foot massagers . I think they sell them at Sears .,neutral
Alright . We can go check at Sears and see if they have them . And what about Dad ?,neutral
How about the iguana ?,neutral
I think it would be a great joke . But I know we'd have to take the iguana back . And the pet store might not let us . So why don't we get him something else ? Some clothes maybe .,neutral
A tie ?,neutral
"Oh , shut up about ties ! Forget about ties , why not ?",anger
I was just kidding .,neutral
I decided to give it a go !,happiness
Good for you . What items did you bid on ?,happiness
A DENY shirt and one of Serena Williams ' used tennis rackets !,happiness
Your idol ! Wow ! You're even better at finding stuff than me !,happiness
Yep . I placed a bid for the shirt . The minimum was ten so I bet fifty !,happiness
That's not how this game works .,neutral
"Well , there was a sign that said "" Buy now for seventy . """,neutral
How many bids had been placed before you ?,neutral
I hear you are moving to Dalian .,happiness
Yes . I found a very good job down here .,happiness
"Well , we'll certainly miss you here .",happiness
"I am going to miss you , too .",happiness
Let's keep in touch .,happiness
OK . I will write to you as soon as I get there .,happiness
I think your speech was excellent .,happiness
Was it ?,neutral
Sure it was .,happiness
"Thank you . It was really a challenge to speak before such a large audience , you know .",happiness
But you did it and did it well !,happiness
"Oh , my God ! I've been cheated !",anger
What ? What did you buy ?,neutral
It's a brick ! I can't believe how stupid I was . Damn it !,anger
What is it ? Why did you buy a brick ?,neutral
"There was a guy on the sidewalk . He had three new boxes , Panasonic video camera boxes . He said he had to get rid of them quick .",neutral
And ?,neutral
So he said he'd sell me one for twenty dollars . A four-hundred-dollar camera for twenty bucks .,neutral
And it's a brick ?,neutral
I can't believe how stupid you are . Why didn't you open the box ?,surprise
"I wanted to . But he said , no , the box is still in its plastic wrap from the store . If it's opened , other people won't believe it's new .",neutral
So he had the boxes wrapped in plastic .,neutral
"Yes , it was the kind of perfect plastic wrap that comes with new products . Look , it even had a bar-code price sticker on it ! It looked brand new .",neutral
But why would a guy be selling new video cameras for twenty dollars ?,surprise
He said he had to get rid of them . They were stolen .,neutral
"Aha ! Now I understand . You were trying to buy stolen goods on the sidewalk . So , what I think is , you deserve to get cheated !",neutral
"C'mon , don't blame me ! I thought it was a new camera . We could use it . We were even thinking about buying a camera . I don't understand how he could have such a perfect-looking box .",neutral
That's no problem . He just has a friend who works in a shop that can do plastic wrap . That's easy . And probably it's the same shop he got the boxes from . Maybe his friend works in an electronics store . They sell video cameras there . Probably they had a couple video camera boxes lying around . So they get the idea of wrapping bricks to sell to fools like you . Twenty dollars a brick . That's a good profit if they can sell enough bricks .,neutral
"You're right , Sarah . I was a fool . I can't believe it . How could I fall for such a trick ?",neutral
"Wow , the view from the peak is so grand !",happiness
"Look , most of the maple leaves have turned red .",happiness
Did you ever see this kind of beautiful scene ?,neutral
"Of course , my father used to take me to Kiang Shan or somewhere like that as a child .",neutral
But my father did not . He didn't have much time .,neutral
"Honey , I'm sorry . I promise you , this summer vacation , I will take you to Huang-Shan Mountains . It is more beautiful and magnificent .",happiness
Really ? It's a deal . Have you ever been there ?,surprise
"Yes , I went there five years ago . You were still a baby at that time .",neutral
It really gets me interested . Is it higher than Kiang Shan ?,neutral
Surely . You can enjoy the beauty of numerous streams and waterfalls . The sea of clouds has a fairy tale beauty .,neutral
Can I see the rainbow ?,neutral
"That depends . If you are lucky , you can see a vivid rainbow across over two peaks .",neutral
"Why don ' t you sit down and relax , darling ?",neutral
I don ' t want to .,anger
"Well , come and talk to me then .",neutral
Certainly not .,anger
May I turn on the radio then ?,neutral
Turn on the radio ? What for ?,anger
So that we can sit down together and listen to some music .,neutral
Listen to some music ? And who ' ll cook dinner ? Will you ?,anger
"Ok , I will . But let ' s go to a disco after dinner .",neutral
"To a disco ? Oh , no . You know I hate pop .",anger
Have you been to Shanghai before ?,neutral
Yes I have . I ' Ve been there three times in the past year .,happiness
That sounds great . Have you been to the top of the Pearl Tower ?,happiness
No I haven ' t . I haven ' t visited the Bund either . I ' Ve always had too much work to do .,happiness
"So you haven ' t done much then , in Shanghai ?",neutral
"Actually , I ' Ve eaten soup dumplings in a lovely restaurant on Nanjing Lu . They were delicious !",happiness
"What do you do in your free time , Nancy ?",neutral
"Well , I like playing the violin .",neutral
Really ? How long have you been playing the violin ?,neutral
About ten years so far . I started learning when I was in middle school .,neutral
That's really interesting .,happiness
Sure . So what about you ? Do you have any hobbies ?,happiness
"Well , I like collecting matchbox ! I'm not sure if that counts , though .",happiness
Of course it does . Everybody has his own hobby .,happiness
"I'm very grateful for what you have done to my son , doctor .",happiness
"That's all tight , Mr . Smith . That ' s my job . I'm very glad he recovered so soon .",happiness
I know he has brought great trouble to you . A million thanks .,happiness
"No trouble at all . He's very cute and brave . By the way , do remember to keep him away from sea food for at least two weeks .",happiness
I will . It's most thoughtful of you .,happiness
What's in the box ?,neutral
"Sandy , I think we made a mistake ...",neutral
What do you mean ?,neutral
It's a cute little teddy bear !,happiness
How sweet ! Maybe he was just a shy guy who had a crush on you !,happiness
And look what we did to him ! Hey ... he left me his business card .,surprise
Wow ! Call him tonight ! You guys will really have an interesting love story to tell everyone !,happiness
"Diana , do you like the perfume I gave you ?",neutral
"It ' s good . But to tell you the truth , I don ' t wear perfume .",neutral
I ' m sorry . I didn ' t know that .,neutral
That ' s all right . Thank you all the same .,happiness
"Jane , I was wondering if you you had any plans for saturday afternoon .",neutral
"A friend and I are planing to go out , why ? what's up ?",neutral
"There is a special exhibition of french sculptures at the museum , I was hoping you ' d like to come with me .",neutral
I am afraid I can't I am going to be out all day .,sadness
What about sunday ?,neutral
"I wish I could , but it's my mums birthday .",neutral
Maybe next week .,neutral
"Much as I ' d like to , I am afraid i wont be free next week , I have a lot of work .",neutral
"Sorry to hear that , I was really looking forward to spending some more time with you , I really enjoyed our last chat .",sadness
"I am really sorry too , maybe I can give you a call sometime .",sadness
I'm afraid it's a bad news for you . There are some problems in your supervised goods .,neutral
"Oh , no ! How did this happen . Are you sure ?",surprise
I overheard this information when I passed Arden's office . We got some complaints from consumers yesterday . I am terribly sorry for that .,neutral
My God ! I actually checked them one by one . How could this be ?,surprise
Calm down ! It is useless to act like that . Can we find some solutions ?,neutral
What kind of solution can I have now ? I nearly go crazy now .,sadness
But we still have to find one . Can we find Arden to check whether this is true or not ?,neutral
"It seems that I have nothing to do , except this .",sadness
Face the reality . Maybe we can find the way to make up the loss .,neutral
It ' s very kind of you to invite me to dinner .,happiness
Please sit down and make yourself at home . Please don ' t stand on ceremony .,happiness
This dish is really delicious .,happiness
I ' m glad that you like it . This is only the first time that I made it .,happiness
You ' re great . Could you say it in Chinese ?,happiness
"Sure , we call it doubt .",happiness
"Welcome , Ron , come on in !",happiness
"Hi , Malia ! What a nice home !",happiness
We enjoy it too !,happiness
How long have you lived here ?,happiness
About four years now .,happiness
"Well , it is very beautiful .",happiness
"Ron , have a seat and I'll get us something to drink .",happiness
Good ! I am really thirsty . You know it really is hot outside !,happiness
"I have lemonade , iced tea , and mango juice .",happiness
Mango juice would be perfect . Thank you !,happiness
We are through .,anger
Why ?,surprise
"Why ? Isn't it obvious ? First you impose way too much on me , and I'm tired away . Second , you stood me up on the Valentine's Day .",anger
"I'm very sorry for that , but I sent you several messages to explain , my mom was seriously ill , and I had to look afer her .",sadness
"But I ended up with finding out lady that night , that you were with other girl at cafe near your home .",anger
That girl was my cousin .,sadness
You've got so many cousins . I called you later that night . But you didn't have the guts to answer the phone .,anger
I didn't take my cellphone with me at that time .,sadness
I don't buy a story .,anger
"I know you don't hear me right know , please calm down . Anyway , I don't wanna part . I'll drop by tomorrow .",sadness
"No , don't , I don't want to see you anymore . Don't ever call me again .",anger
The dinner was really good . It knocked my socks off .,happiness
That's very kind of you to say so . Let's try some after-dinner wines .,happiness
Great . Sweet wines are my favorite . They always make a great finish to a decisions meal .,happiness
Do you prefer brandy or ports .,happiness
"Port , please .",happiness
Excellent choice . I love its smooth flavor .,happiness
The port is quite exquisite . It must have spent years aging in barrels . Am I right ?,happiness
Yes . You always have a good nose for wines .,happiness
Next time we are about to dinner we should try some Canadian ice wine .,happiness
"Oh , what's that ?",surprise
It's made from naturally frozen grapes .,happiness
Why not ? It sounds great .,happiness
"OK , here's to your health .",happiness
Thanks . Cheers .,happiness
Cheers .,happiness
That's brilliant ! We can name the grades of motor oil by where they come from .,happiness
"Mr . Mechanic , I'd like a nice Venezuelan blend this morning .",happiness
I think the Saudi Arabian will hit the spot today .,happiness
"But really , maybe this can work . Everyone loves coffee , and everyone needs motor oil .",happiness
A match made in heaven .,happiness
"Hi , Tony . You look unhappy . What's wrong ?",neutral
"Oh , Steven , I made a big mistake .",sadness
What happened ?,neutral
I really wish I hadn ' t done it .,sadness
What on earth are you talking about ?,neutral
I got caught cheating . I feel so ashamed . The teacher saw me and told me I failed .,sadness
What were you thinking ?,neutral
"You know my father . If I fail , he'll kill me . I have to do well .",sadness
But what you should do is study hard .,neutral
"I know ... I know ... it's all my fault . I feel awful that I didn ' t study , and I cheated , and I got caught .",sadness
So long as you learn from your mistakes .,neutral
"Happy New Year , Jim !",happiness
"Thank you , same to you ! Lee , have you got any plans ?",happiness
"Yeah , I'm going to the Temple Fair with my family .",happiness
How nice ! Have fun !,happiness
I don't think you really want to hear about it .,anger
"To be honest , it was horrible ! My manager is such a pain in the neck !",anger
"There wasn't really anything that I could do . There's always been a lot of bad blood between my manager and myself . If I had said anything , he would have fired for me for sure .",anger
"He treats everyone pretty poorly , but the way he treats me really takes the cake !",anger
Is there anyone else you can talk to about it at you company ?,neutral
That's very sensible . It sounds like you have a good head on you shoulders .,neutral
Do you feel like going to see Paul and Claire tonight ?,happiness
I'd like that very much .,happiness
How does 7:30 sound ?,happiness
Fine . See you later .,happiness
"What's the problem , Nada ? You look down in the dumps .",neutral
I don't know . My life is a big mess . Everything is so complicated .,neutral
"Come on , nothing can be that bad .",neutral
"But promise me , you'll keep it a secret .",neutral
"Ok , I promise . So what's troubling you so much ?",neutral
I've fallen in love with my boss .,neutral
Really ? Is he married ?,surprise
"Bo , of course not . He is still single .",neutral
Then what's your problem ?,neutral
I try to keep it to myself . But there is a lot of gossip about us .,sadness
"Oh , I see . Office romance tends to be the subject of gossip .",neutral
"Worse still , he is trying to avoid me these days .",sadness
Office romance is very tricky .,neutral
It gives me a lot of pressure and I feel depressed .,sadness
"Cheer up , Nada . You'll be fine .",neutral
Listen to this . Mary got married .,neutral
Is she really ? I can ' t believe it !,surprise
Yes . Yesterday .,neutral
Good gracious . That ' s incredible !,surprise
She married Jerrod .,neutral
You ' re kidding .,surprise
She ' s going to live in Paris .,neutral
Really ? I ' m surprised .,surprise
"This is the end , Jane . I don't want a girlfriend who goes out with other guys all the time .",anger
I won't do it again . Please forgive me .,sadness
No way . I've given you too many chances already .,anger
How do you like this dress ?,happiness
It's nice . But what kind of dress are you looking for ?,happiness
"Something attractive and dressy . Maybe a little sexy too . New Year's Eve is a special occasion and it only happens once a year , right ?",neutral
Of course . It's common too that we wear something special for our Chinese New Year .,neutral
People here always wear the best clothes they have . Many people go out and buy clothes especially for New Year's Eve .,neutral
Any other common customs of your New Year ?,neutral
"Before the New Year , we always send greeting cards to our relatives and friends to wish them a happy year . On the street and in stores people usually greet others with a ' Happy New Year ' . It's also common for people to make a New Year's resolution .",neutral
What's that ?,neutral
"It's when people quit a bad habit or do something they find hard to do . Many people resolve to quit smoking , lose weight , or stop nagging their wife , etc . However , it usually lasts only for a few days !",neutral
"By the way , where are you going on New Year's Eve ?",neutral
"We're going to a night club for dinner and dancing , then we'll go down to the city square for the big celebration . There's always a fireworks display put on by the local government . We all want you to come too .",happiness
Thanks a lot .,happiness
"Hello , let me introduce myself . I'm your new neighbor . My name is Andy .",happiness
"Hi , Andy . I'm Judy . It's nice meeting you .",happiness
"Nice meeting you , too .",happiness
Come over and visit when you have time .,happiness
Thanks for the invitation . I will !,happiness
"Oh , George , what a beautiful day it is today ! The sun is hot and there are just a few clouds scattered here and there ! What a perfect day to be at the beach ! The kids are going to have so much fun ! And we ' ll be able to relax in the sun while they ' re playing .",happiness
"It does seem like the perfect day ! I ' m glad we chose to get out of the city and enjoy the nice weather ! This looks like the perfect spot ! Ok kids , put on your sunscreen while your mom and I set up camp . Here , Mary , help me lay down these beach towels .",happiness
There we go . Can you help me with the umbrella ? Perfect .,happiness
